age,hours_per_day,while_working,bpm,frequency_classical,frequency_edm,frequency_folk,frequency_hip_hop,frequency_latin,frequency_lofi,frequency_metal,frequency_pop,frequency_r&b,frequency_rock,frequency_video_game_music,anxiety,depression,insomnia,ocd,hour,minute,primary_streaming_service,fav_genre,age_bin,hours_per_day_bin,date,music_effects
23,2.0,0,100.0,1,1,1,3,1,1,4,4,1,4,3,7.0,8.0,5.0,1.0,16,53,spotify,rock,21-25,1-2,2022-08-28,2
19,3.0,1,126.0,1,3,1,4,1,2,2,2,2,4,3,5.0,2.0,8.0,6.0,16,58,apple music,rock,16-20,2-3,2022-08-28,3
17,2.0,1,122.0,2,3,3,4,2,2,4,2,2,4,1,10.0,7.0,4.0,2.0,17,14,spotify,hip hop,16-20,1-2,2022-08-28,3
21,1.0,0,179.0,1,1,2,3,1,4,3,2,3,4,2,6.0,5.0,0.0,0.0,17,14,youtube music,rock,21-25,0-1,2022-08-28,2
29,5.0,1,200.0,2,1,2,1,2,2,2,1,3,4,3,7.0,2.0,3.0,1.0,17,15,other streaming service,jazz,26-30,4-5,2022-08-28,3
22,10.0,0,128.0,3,4,4,1,1,1,2,1,2,3,3,4.0,7.0,7.0,3.0,17,15,spotify,edm,21-25,9-10,2022-08-28,3
18,4.0,1,130.0,3,3,2,2,3,3,4,4,2,4,4,4.0,5.0,6.0,5.0,17,19,spotify,pop,16-20,3-4,2022-08-28,3
13,2.0,1,120.0,2,3,4,3,1,3,3,4,2,4,4,7.0,10.0,5.0,6.0,17,27,spotify,rock,11-15,1-2,2022-08-28,1
24,1.0,0,86.0,3,2,2,2,1,1,4,3,3,4,2,6.0,4.0,5.0,0.0,17,32,spotify,metal,21-25,0-1,2022-08-28,3
35,6.0,1,166.0,3,3,4,2,2,3,3,3,2,4,3,4.0,1.0,3.0,1.0,17,33,spotify,rock,31-35,5-6,2022-08-28,2
29,1.0,1,110.0,3,1,2,1,1,1,1,3,2,3,3,6.0,6.0,1.0,2.0,17,37,youtube music,video game music,26-30,0-1,2022-08-28,3
28,6.0,1,144.0,3,1,3,2,2,2,3,3,3,4,4,10.0,8.0,7.0,1.0,17,40,spotify,rock,26-30,5-6,2022-08-28,3
32,7.0,1,120.0,3,2,1,3,1,2,2,4,4,4,4,10.0,8.0,2.0,8.0,17,41,spotify,pop,31-35,6-7,2022-08-28,3
32,1.0,0,120.0,2,4,2,3,2,2,1,3,2,2,1,3.0,6.0,2.0,0.0,17,43,other streaming service,edm,31-35,0-1,2022-08-28,2
21,3.0,1,160.0,1,1,4,3,1,3,4,2,1,4,3,8.0,9.0,2.0,0.0,17,54,spotify,rock,21-25,2-3,2022-08-28,3
18,2.0,1,101.0,1,3,1,2,1,2,1,2,1,3,4,8.0,3.0,8.0,7.0,17,56,spotify,video game music,16-20,1-2,2022-08-28,3
19,3.0,1,122.0,4,1,1,1,1,3,1,4,1,2,3,3.0,3.0,1.0,2.0,18,2,spotify,classical,16-20,2-3,2022-08-28,3
18,2.0,1,100.0,2,1,1,2,2,2,2,4,2,2,1,6.0,5.0,2.0,0.0,18,3,apple music,pop,16-20,1-2,2022-08-28,3
16,3.0,1,100.0,2,3,1,2,1,3,1,4,1,4,2,0.0,0.0,4.0,0.0,18,3,youtube music,pop,16-20,2-3,2022-08-28,2
25,1.5,1,61.0,3,2,3,2,1,2,2,4,4,4,1,6.0,5.0,0.0,2.0,18,6,spotify,pop,21-25,1-2,2022-08-28,3
17,4.0,1,79.0,4,1,1,3,1,4,1,4,3,2,4,3.0,8.0,0.0,0.0,18,8,spotify,lofi,16-20,3-4,2022-08-28,3
16,2.0,1,126.0,4,1,1,4,1,2,1,4,4,1,3,1.0,8.0,0.0,0.0,18,13,spotify,rap,16-20,1-2,2022-08-28,2
27,10.0,1,185.0,3,3,1,3,1,2,4,4,2,4,2,5.0,6.0,6.0,3.0,18,17,spotify,metal,26-30,9-10,2022-08-28,3
53,7.0,1,92.0,4,4,2,3,3,2,2,4,4,4,2,0.0,0.0,0.0,0.0,18,17,spotify,pop,51-55,6-7,2022-08-28,3
25,1.0,1,107.0,1,4,1,2,1,2,1,1,1,2,2,0.0,8.0,0.0,0.0,18,18,spotify,edm,21-25,0-1,2022-08-28,3
34,2.0,0,120.0,1,2,1,1,1,1,4,2,1,3,1,3.0,7.0,0.0,0.0,18,18,spotify,metal,31-35,1-2,2022-08-28,3
22,6.0,1,140.0,3,4,4,4,3,3,3,4,4,3,3,8.0,8.0,8.0,5.0,18,18,other streaming service,jazz,21-25,5-6,2022-08-28,3
17,2.0,1,94.0,3,1,1,2,1,2,3,4,1,4,2,5.0,2.0,3.0,4.0,18,21,spotify,jazz,16-20,1-2,2022-08-28,3
26,3.0,1,160.0,2,1,4,2,1,2,2,3,3,3,3,8.0,8.0,3.0,0.0,18,28,spotify,folk,26-30,2-3,2022-08-28,3
19,8.0,1,174.0,1,4,1,3,1,1,2,3,3,3,1,6.0,8.0,8.0,0.0,18,30,spotify,edm,16-20,7-8,2022-08-28,3
21,3.0,1,136.0,2,3,2,4,4,3,2,4,4,3,3,6.0,8.0,6.0,0.0,18,33,spotify,pop,21-25,2-3,2022-08-28,1
32,3.0,1,144.0,2,3,4,3,3,4,2,3,4,4,2,6.0,6.0,7.0,5.0,18,35,spotify,rock,31-35,2-3,2022-08-28,3
21,3.0,1,77.0,1,1,3,3,2,1,2,2,2,4,4,9.0,10.0,3.0,0.0,18,51,i do not use a streaming service.,rock,21-25,2-3,2022-08-28,2
25,2.0,0,120.0,2,1,2,3,3,1,1,4,3,4,2,7.0,7.0,5.0,0.0,18,53,spotify,pop,21-25,1-2,2022-08-28,3
26,1.0,0,100.0,2,2,2,2,1,2,3,3,2,4,1,10.0,7.0,2.0,8.0,18,54,spotify,rock,26-30,0-1,2022-08-28,2
21,2.0,1,100.0,2,1,3,2,1,2,4,2,1,4,3,1.0,3.0,0.0,6.0,18,55,spotify,metal,21-25,1-2,2022-08-28,2
17,2.0,1,100.0,2,1,1,2,1,4,1,4,4,1,3,5.0,3.0,2.0,1.0,18,56,spotify,pop,16-20,1-2,2022-08-28,3
28,4.0,1,194.0,2,2,2,3,1,1,3,3,2,4,3,6.0,8.0,1.0,6.0,18,57,i do not use a streaming service.,rock,26-30,3-4,2022-08-28,3
41,4.0,1,60.0,2,3,4,4,2,3,2,4,4,4,2,7.0,2.0,0.0,7.0,18,58,youtube music,pop,41-45,3-4,2022-08-28,3
18,1.0,1,190.0,2,2,1,3,1,1,4,2,1,4,3,6.0,9.0,9.0,0.0,18,58,spotify,metal,16-20,0-1,2022-08-28,3
22,2.0,0,87.0,3,1,1,2,4,3,1,3,4,2,3,1.0,1.0,4.0,1.0,18,59,spotify,r&b,21-25,1-2,2022-08-28,2
18,2.0,1,122.0,2,1,1,1,1,2,1,4,3,1,1,0.0,2.0,0.0,0.0,18,59,other streaming service,k pop,16-20,1-2,2022-08-28,3
49,1.0,1,156.0,3,4,3,3,2,3,3,3,2,4,3,8.0,8.0,2.0,0.0,19,4,other streaming service,edm,46-50,0-1,2022-08-28,3
21,3.0,1,150.0,3,2,3,2,1,3,4,4,2,4,3,3.0,3.0,7.0,0.0,19,4,spotify,metal,21-25,2-3,2022-08-28,2
27,10.0,1,194.0,1,3,3,3,2,3,4,4,3,4,3,8.0,8.0,3.0,0.0,19,7,spotify,metal,26-30,9-10,2022-08-28,3
19,1.0,0,160.0,1,1,1,2,1,3,4,3,2,4,1,6.0,4.0,0.0,3.0,19,10,spotify,metal,16-20,0-1,2022-08-28,2
27,3.0,1,171.0,3,1,2,3,1,2,4,1,2,3,2,1.0,0.0,0.0,0.0,19,12,spotify,metal,26-30,2-3,2022-08-28,3
27,1.5,1,95.0,1,1,2,3,1,2,4,3,1,4,3,5.0,5.0,4.0,4.0,19,16,spotify,rock,26-30,1-2,2022-08-28,3
19,3.0,1,114.0,3,1,4,2,1,3,1,3,3,3,3,8.0,9.0,6.0,0.0,19,18,spotify,k pop,16-20,2-3,2022-08-28,3
42,2.5,1,148.0,3,4,2,3,1,2,3,2,2,3,2,8.0,8.0,7.0,6.0,19,20,youtube music,rock,41-45,2-3,2022-08-28,3
60,2.0,1,119.0,2,1,2,1,2,1,1,3,2,3,1,3.0,0.0,2.0,0.0,19,22,pandora,gospel,56-60,1-2,2022-08-28,3
19,5.0,1,136.0,3,2,3,3,1,4,4,1,1,4,3,0.0,5.0,1.0,0.0,19,26,youtube music,metal,16-20,4-5,2022-08-28,2
