Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Permissions,unique_id
22,YouTube Music,2.0,Yes,No,No,Pop,No,No,120.0,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Very frequently,Rarely,Rarely,Sometimes,Sometimes,7.0,7.0,8.0,3.0,Improve,I understand.,201
19,Spotify,3.0,Yes,No,Yes,Rock,Yes,Yes,76.0,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Never,Very frequently,Rarely,9.0,10.0,4.0,0.0,Improve,I understand.,202
44,Other streaming service,3.0,Yes,No,No,Folk,Yes,Yes,130.0,Rarely,Rarely,Rarely,Very frequently,Rarely,Sometimes,Rarely,Never,Rarely,Sometimes,Never,Rarely,Sometimes,Sometimes,Rarely,Sometimes,9.0,9.0,8.0,2.0,Improve,I understand.,203
22,Spotify,3.0,Yes,No,No,Rock,No,No,100.0,Never,Rarely,Never,Very frequently,Never,Rarely,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Very frequently,Rarely,9.0,10.0,3.0,9.0,Improve,I understand.,204
26,Spotify,5.0,Yes,Yes,Yes,Metal,Yes,Yes,109.0,Sometimes,Rarely,Very frequently,Rarely,Rarely,Rarely,Sometimes,Sometimes,Never,Rarely,Very frequently,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,10.0,9.0,8.0,8.0,Improve,I understand.,205
23,I do not use a streaming service.,6.0,Yes,No,Yes,Classical,No,Yes,96.0,Very frequently,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,6.0,5.0,6.0,8.0,Improve,I understand.,206
17,Spotify,2.0,No,No,No,R&B,No,Yes,148.0,Sometimes,Never,Rarely,Never,Never,Very frequently,Rarely,Rarely,Never,Rarely,Never,Sometimes,Very frequently,Sometimes,Never,Rarely,8.0,6.0,10.0,3.0,Improve,I understand.,207
42,YouTube Music,2.0,No,No,No,Metal,Yes,No,100.0,Sometimes,Rarely,Sometimes,Rarely,Never,Sometimes,Never,Never,Never,Never,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Rarely,8.0,3.0,6.0,4.0,Improve,I understand.,208
30,Spotify,1.0,No,Yes,No,Rock,Yes,No,129.0,Rarely,Never,Rarely,Rarely,Never,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Very frequently,Rarely,Rarely,Very frequently,Rarely,4.0,2.0,1.0,3.0,Improve,I understand.,209
35,Spotify,1.0,Yes,No,No,Pop,Yes,Yes,81.0,Sometimes,Rarely,Sometimes,Rarely,Never,Sometimes,Rarely,Rarely,Never,Never,Never,Very frequently,Rarely,Rarely,Sometimes,Rarely,2.0,1.0,1.0,1.0,No effect,I understand.,210
20,Spotify,3.0,No,No,No,Rock,Yes,No,136.0,Never,Very frequently,Never,Never,Never,Never,Never,Never,Never,Never,Very frequently,Very frequently,Never,Sometimes,Very frequently,Rarely,10.0,10.0,7.0,3.0,Improve,I understand.,211
18,Spotify,3.0,Yes,No,No,Rap,Yes,Yes,155.0,Rarely,Never,Never,Sometimes,Never,Very frequently,Sometimes,Never,Sometimes,Sometimes,Never,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,8.0,9.0,0.0,0.0,Improve,I understand.,212
21,Spotify,1.0,No,No,No,Pop,No,Yes,100.0,Never,Never,Sometimes,Never,Never,Rarely,Never,Sometimes,Sometimes,Rarely,Never,Very frequently,Sometimes,Rarely,Sometimes,Rarely,4.0,9.0,6.0,2.0,No effect,I understand.,213
19,Spotify,6.0,Yes,No,No,Rock,Yes,Yes,52.0,Never,Never,Rarely,Very frequently,Never,Rarely,Rarely,Never,Very frequently,Rarely,Sometimes,Very frequently,Rarely,Sometimes,Very frequently,Rarely,4.0,2.0,0.0,0.0,Improve,I understand.,214
37,Spotify,4.0,Yes,No,No,Rock,Yes,No,97.0,Rarely,Sometimes,Sometimes,Sometimes,Never,Very frequently,Rarely,Never,Never,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,Never,9.0,2.0,7.0,7.0,Improve,I understand.,215
31,Spotify,2.0,Yes,No,No,Metal,Yes,Yes,92.0,Sometimes,Rarely,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Sometimes,Very frequently,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,8.0,6.0,7.0,5.0,Improve,I understand.,216
29,Spotify,2.0,Yes,Yes,No,Folk,Yes,Yes,100.0,Never,Sometimes,Rarely,Very frequently,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Very frequently,Rarely,Very frequently,Rarely,6.0,5.0,4.0,2.0,Improve,I understand.,217
20,Spotify,3.0,Yes,No,No,Rock,Yes,Yes,120.0,Sometimes,Rarely,Rarely,Very frequently,Never,Rarely,Sometimes,Never,Never,Sometimes,Sometimes,Very frequently,Rarely,Rarely,Very frequently,Sometimes,8.0,5.0,2.0,3.0,Improve,I understand.,218
36,I do not use a streaming service.,8.0,Yes,Yes,Yes,Video game music,No,Yes,143.0,Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,Rarely,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Sometimes,Very frequently,7.0,6.0,6.0,1.0,No effect,I understand.,219
18,Spotify,3.0,Yes,Yes,No,Rock,Yes,No,118.0,Sometimes,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Rarely,Rarely,Sometimes,Never,Never,Very frequently,Rarely,10.0,2.0,0.0,0.0,Improve,I understand.,220
18,Spotify,2.0,Yes,No,No,K pop,Yes,Yes,130.0,Rarely,Never,Sometimes,Never,Never,Never,Never,Very frequently,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Never,6.0,0.0,0.0,0.0,Improve,I understand.,221
25,Spotify,7.0,Yes,No,No,Pop,No,Yes,120.0,Never,Sometimes,Very frequently,Rarely,Rarely,Sometimes,Never,Very frequently,Rarely,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Rarely,Sometimes,2.0,0.0,1.0,0.0,Improve,I understand.,222
18,YouTube Music,12.0,Yes,No,No,K pop,Yes,Yes,126.0,Never,Never,Never,Never,Never,Sometimes,Never,Very frequently,Sometimes,Never,Rarely,Very frequently,Sometimes,Sometimes,Rarely,Never,3.0,7.0,5.0,2.0,Improve,I understand.,223
31,YouTube Music,9.0,Yes,No,No,Pop,Yes,Yes,158.0,Rarely,Rarely,Rarely,Sometimes,Never,Never,Rarely,Rarely,Rarely,Very frequently,Sometimes,Very frequently,Never,Rarely,Sometimes,Sometimes,9.0,0.0,2.0,0.0,Improve,I understand.,224
17,Spotify,2.0,Yes,No,No,Pop,Yes,Yes,160.0,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Never,Never,Rarely,Very frequently,Rarely,Sometimes,Sometimes,Never,5.0,4.0,1.0,1.0,Improve,I understand.,225
21,Spotify,1.0,Yes,No,No,Folk,No,Yes,100.0,Never,Rarely,Never,Very frequently,Never,Rarely,Sometimes,Never,Never,Rarely,Rarely,Rarely,Never,Never,Sometimes,Very frequently,8.0,4.0,0.0,1.0,Improve,I understand.,226
30,Other streaming service,1.0,No,No,No,Country,No,No,119.0,Never,Very frequently,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Very frequently,Rarely,Sometimes,Sometimes,Rarely,8.0,10.0,2.0,0.0,Improve,I understand.,227
40,Apple Music,2.0,Yes,No,No,Metal,Yes,Yes,120.0,Sometimes,Never,Sometimes,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Very frequently,Rarely,Rarely,Rarely,Very frequently,Never,3.0,6.0,2.0,1.0,No effect,I understand.,228
18,I do not use a streaming service.,4.0,Yes,No,No,Rock,No,No,200.0,Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,4.0,4.0,2.0,1.0,Improve,I understand.,229
14,Spotify,2.0,Yes,Yes,No,Rock,Yes,Yes,136.0,Rarely,Never,Never,Sometimes,Never,Sometimes,Rarely,Never,Never,Never,Sometimes,Very frequently,Rarely,Sometimes,Very frequently,Rarely,7.0,5.0,2.0,6.0,Improve,I understand.,230
26,YouTube Music,6.0,Yes,No,No,Rock,Yes,No,104.0,Sometimes,Never,Never,Rarely,Never,Rarely,Sometimes,Never,Never,Never,Rarely,Sometimes,Never,Rarely,Very frequently,Never,3.0,2.0,0.0,0.0,No effect,I understand.,231
35,Spotify,4.0,Yes,Yes,Yes,Country,Yes,Yes,90.0,Rarely,Very frequently,Rarely,Sometimes,Rarely,Very frequently,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,Never,9.0,9.0,5.0,1.0,Improve,I understand.,232
33,Other streaming service,1.0,No,No,No,Rock,No,No,120.0,Never,Never,Never,Never,Never,Sometimes,Never,Never,Rarely,Never,Never,Sometimes,Rarely,Rarely,Very frequently,Never,3.0,10.0,4.0,1.0,No effect,I understand.,233
30,Spotify,6.0,Yes,No,No,Folk,Yes,Yes,89.0,Sometimes,Rarely,Never,Very frequently,Rarely,Never,Rarely,Never,Never,Sometimes,Sometimes,Rarely,Never,Never,Very frequently,Never,9.0,0.0,5.0,0.0,No effect,I understand.,234
31,Spotify,2.0,No,Yes,No,Metal,Yes,Yes,95.0,Sometimes,Sometimes,Sometimes,Rarely,Never,Rarely,Never,Never,Never,Rarely,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Sometimes,7.0,6.0,6.0,5.0,Improve,I understand.,235
27,Spotify,5.0,Yes,No,Yes,Folk,Yes,Yes,140.0,Rarely,Never,Sometimes,Very frequently,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Very frequently,Sometimes,Very frequently,Sometimes,Never,Very frequently,Very frequently,0.0,9.0,4.0,0.0,Improve,I understand.,236
53,I do not use a streaming service.,1.5,No,No,No,Pop,Yes,Yes,92.0,Rarely,Never,Very frequently,Sometimes,Never,Sometimes,Never,Rarely,Sometimes,Never,Never,Very frequently,Rarely,Sometimes,Sometimes,Never,2.0,2.0,2.0,1.0,No effect,I understand.,237
23,Spotify,5.0,Yes,Yes,Yes,Metal,Yes,Yes,120.0,Sometimes,Rarely,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Very frequently,Rarely,Never,Never,Very frequently,Never,6.0,9.0,2.0,1.0,Improve,I understand.,238
25,Spotify,2.0,Yes,No,Yes,EDM,Yes,No,128.0,Rarely,Rarely,Very frequently,Rarely,Never,Sometimes,Sometimes,Sometimes,Never,Rarely,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Rarely,6.0,4.0,1.0,0.0,Improve,I understand.,239
16,Apple Music,4.0,Yes,Yes,No,K pop,Yes,Yes,140.0,Very frequently,Rarely,Rarely,Sometimes,Rarely,Very frequently,Sometimes,Very frequently,Sometimes,Very frequently,Very frequently,Very frequently,Sometimes,Rarely,Sometimes,Rarely,8.0,9.0,4.0,0.0,Improve,I understand.,240
18,Spotify,2.0,Yes,Yes,Yes,Rock,Yes,No,100.0,Never,Never,Rarely,Rarely,Never,Rarely,Never,Never,Never,Rarely,Never,Rarely,Never,Rarely,Very frequently,Never,6.0,7.0,4.0,3.0,Improve,I understand.,241
29,Spotify,5.0,Yes,Yes,Yes,Classical,Yes,Yes,100.0,Very frequently,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,Sometimes,Rarely,Never,Sometimes,Never,7.0,2.0,2.0,0.0,Improve,I understand.,242
31,YouTube Music,6.0,Yes,No,No,EDM,Yes,Yes,136.0,Rarely,Rarely,Never,Rarely,Never,Sometimes,Never,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,8.0,6.0,5.0,6.0,No effect,I understand.,243
31,Spotify,1.0,No,No,No,Rock,No,Yes,132.0,Sometimes,Rarely,Never,Never,Never,Rarely,Never,Never,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Very frequently,Sometimes,3.0,10.0,0.0,0.0,Worsen,I understand.,244
38,Spotify,6.0,Yes,Yes,No,Pop,Yes,Yes,107.0,Very frequently,Sometimes,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Rarely,Sometimes,Sometimes,Rarely,Very frequently,Very frequently,Very frequently,Sometimes,Never,9.0,4.0,9.0,7.0,Improve,I understand.,245
17,Spotify,4.0,No,Yes,No,Classical,Yes,Yes,135.0,Very frequently,Never,Never,Never,Never,Very frequently,Very frequently,Rarely,Very frequently,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,7.0,9.0,2.0,8.0,Worsen,I understand.,246
25,Apple Music,2.0,No,No,No,EDM,No,Yes,171.0,Never,Sometimes,Very frequently,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Sometimes,Never,Never,Very frequently,Rarely,10.0,3.0,1.0,4.0,Improve,I understand.,247
20,Spotify,2.0,No,Yes,Yes,Metal,No,Yes,100.0,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Very frequently,Never,Never,Rarely,Sometimes,Rarely,0.0,0.0,0.0,1.0,No effect,I understand.,248
15,Spotify,2.0,Yes,No,No,EDM,No,No,171.0,Never,Never,Very frequently,Never,Never,Sometimes,Never,Never,Never,Never,Never,Rarely,Rarely,Sometimes,Never,Rarely,9.0,6.0,1.0,7.0,No effect,I understand.,249
16,Spotify,4.0,Yes,No,Yes,Lofi,Yes,No,85.0,Rarely,Rarely,Very frequently,Rarely,Never,Rarely,Rarely,Never,Never,Very frequently,Rarely,Sometimes,Never,Rarely,Rarely,Very frequently,7.0,1.0,3.0,5.0,Improve,I understand.,250
20,Spotify,2.0,Yes,Yes,No,EDM,No,Yes,174.0,Sometimes,Never,Very frequently,Never,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Never,Never,Sometimes,Sometimes,9.0,7.0,5.0,7.0,Improve,I understand.,251
23,Other streaming service,6.0,Yes,No,No,Rap,Yes,Yes,87.0,Never,Never,Sometimes,Sometimes,Never,Rarely,Never,Sometimes,Sometimes,Never,Never,Very frequently,Very frequently,Sometimes,Rarely,Never,3.0,1.0,2.0,7.0,Improve,I understand.,252
22,Spotify,3.0,Yes,No,No,Hip hop,Yes,Yes,77.0,Rarely,Never,Sometimes,Rarely,Never,Very frequently,Rarely,Never,Sometimes,Rarely,Sometimes,Very frequently,Sometimes,Very frequently,Sometimes,Rarely,6.0,6.0,8.0,0.0,Improve,I understand.,253
15,I do not use a streaming service.,5.0,Yes,No,No,Rock,Yes,Yes,126.0,Rarely,Never,Very frequently,Rarely,Never,Never,Never,Never,Never,Sometimes,Rarely,Very frequently,Never,Never,Very frequently,Sometimes,10.0,6.0,0.0,4.0,Improve,I understand.,254
17,I do not use a streaming service.,0.5,Yes,Yes,No,Video game music,No,Yes,136.0,Rarely,Sometimes,Sometimes,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Very frequently,6.0,3.0,1.0,1.0,Improve,I understand.,255
22,Spotify,1.0,Yes,No,No,Video game music,Yes,Yes,80.0,Rarely,Never,Rarely,Sometimes,Never,Rarely,Never,Never,Never,Sometimes,Never,Rarely,Never,Never,Rarely,Very frequently,3.0,3.0,0.0,7.0,No effect,I understand.,256
21,Spotify,10.0,Yes,No,No,Metal,Yes,Yes,92.0,Never,Rarely,Rarely,Never,Never,Very frequently,Never,Rarely,Never,Never,Very frequently,Sometimes,Sometimes,Very frequently,Very frequently,Sometimes,9.0,10.0,2.0,2.0,No effect,I understand.,257
19,Spotify,2.0,Yes,No,No,Pop,No,Yes,120.0,Rarely,Never,Sometimes,Rarely,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,Very frequently,Very frequently,Sometimes,Very frequently,Very frequently,7.0,5.0,0.0,2.0,No effect,I understand.,258
32,Apple Music,0.5,No,No,No,Classical,Yes,No,100.0,Very frequently,Never,Sometimes,Rarely,Never,Never,Rarely,Never,Never,Never,Sometimes,Rarely,Never,Never,Very frequently,Rarely,3.0,0.0,4.0,4.0,No effect,I understand.,259
34,YouTube Music,1.0,No,No,No,Rock,No,Yes,138.0,Rarely,Never,Never,Sometimes,Never,Rarely,Never,Never,Rarely,Never,Never,Rarely,Never,Sometimes,Very frequently,Never,9.0,9.0,6.0,4.0,Improve,I understand.,260
18,I do not use a streaming service.,2.0,Yes,Yes,No,Metal,Yes,Yes,150.0,Sometimes,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Very frequently,Sometimes,5.0,7.0,7.0,2.0,Improve,I understand.,261
21,Spotify,3.0,Yes,No,No,Country,Yes,No,108.0,Rarely,Very frequently,Never,Sometimes,Rarely,Rarely,Never,Never,Never,Never,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,0.0,8.0,0.0,5.0,Improve,I understand.,262
20,Spotify,3.0,No,No,No,Country,Yes,Yes,119.0,Rarely,Very frequently,Rarely,Sometimes,Never,Sometimes,Rarely,Sometimes,Never,Never,Never,Very frequently,Very frequently,Rarely,Sometimes,Never,8.0,4.0,3.0,4.0,Improve,I understand.,263
19,Spotify,2.0,Yes,No,No,Country,Yes,No,125.0,Rarely,Very frequently,Rarely,Sometimes,Rarely,Never,Never,Never,Rarely,Rarely,Sometimes,Rarely,Never,Never,Sometimes,Never,7.0,2.0,0.0,7.0,No effect,I understand.,264
25,I do not use a streaming service.,1.0,No,No,No,Pop,No,Yes,100.0,Rarely,Never,Never,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Very frequently,Rarely,Rarely,Very frequently,Very frequently,9.0,9.0,6.0,9.0,No effect,I understand.,265
31,Spotify,8.0,Yes,Yes,No,Classical,Yes,Yes,100.0,Very frequently,Never,Rarely,Rarely,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,5.0,7.0,5.0,4.0,Improve,I understand.,266
21,Spotify,1.0,Yes,Yes,No,Pop,Yes,Yes,85.0,Very frequently,Rarely,Rarely,Sometimes,Never,Rarely,Never,Sometimes,Never,Rarely,Very frequently,Very frequently,Sometimes,Very frequently,Sometimes,Very frequently,5.0,1.0,0.0,0.0,Improve,I understand.,267
31,YouTube Music,1.0,No,No,Yes,Folk,Yes,Yes,113.0,Very frequently,Never,Never,Sometimes,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Sometimes,Never,4.0,1.0,3.0,0.0,Improve,I understand.,268
20,YouTube Music,1.0,No,No,No,Pop,Yes,No,86.0,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Very frequently,Never,Never,Sometimes,Never,3.0,5.0,3.0,0.0,Improve,I understand.,269
19,Spotify,5.0,Yes,Yes,No,Rock,Yes,No,141.0,Sometimes,Rarely,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Very frequently,Sometimes,Sometimes,Rarely,Very frequently,Never,2.0,2.0,0.0,6.0,Improve,I understand.,270
19,Other streaming service,5.0,Yes,No,No,EDM,Yes,Yes,97.0,Rarely,Never,Very frequently,Sometimes,Never,Sometimes,Rarely,Never,Sometimes,Very frequently,Very frequently,Rarely,Never,Very frequently,Sometimes,Rarely,0.0,1.0,3.0,5.0,Improve,I understand.,271
23,Spotify,4.0,Yes,No,No,Metal,Yes,Yes,100.0,Rarely,Sometimes,Sometimes,Never,Never,Sometimes,Never,Rarely,Never,Sometimes,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Rarely,7.0,8.0,6.0,2.0,Improve,I understand.,272
24,I do not use a streaming service.,8.0,Yes,No,Yes,Video game music,Yes,No,120.0,Sometimes,Rarely,Very frequently,Rarely,Rarely,Very frequently,Very frequently,Rarely,Rarely,Very frequently,Very frequently,Rarely,Rarely,Sometimes,Very frequently,Very frequently,6.0,4.0,8.0,8.0,Improve,I understand.,273
20,Other streaming service,0.7,No,No,No,Rock,No,No,144.0,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Very frequently,Rarely,Never,Very frequently,Rarely,5.0,6.0,8.0,2.0,Improve,I understand.,274
15,Spotify,3.0,No,No,No,Video game music,No,No,84.0,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Never,Never,Very frequently,Rarely,Very frequently,Never,Never,Very frequently,Very frequently,6.0,6.0,2.0,6.0,No effect,I understand.,275
17,Spotify,7.0,Yes,No,No,Hip hop,No,Yes,84.0,Never,Never,Rarely,Never,Rarely,Very frequently,Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Very frequently,Rarely,Rarely,8.0,9.0,3.0,4.0,Improve,I understand.,276
20,I do not use a streaming service.,1.5,No,Yes,Yes,Video game music,No,Yes,60.0,Very frequently,Never,Never,Rarely,Rarely,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Very frequently,8.0,4.0,3.0,3.0,Worsen,I understand.,277
14,Spotify,4.0,Yes,Yes,Yes,Video game music,Yes,Yes,81.0,Sometimes,Never,Sometimes,Rarely,Never,Rarely,Sometimes,Sometimes,Never,Very frequently,Never,Sometimes,Rarely,Rarely,Never,Never,8.0,6.0,5.0,7.0,Improve,I understand.,278
24,Spotify,4.0,Yes,No,No,Metal,Yes,Yes,150.0,Sometimes,Rarely,Never,Rarely,Rarely,Rarely,Never,Never,Never,Never,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Never,8.0,8.0,7.0,7.0,Improve,I understand.,279
14,Other streaming service,10.0,Yes,No,Yes,Video game music,No,No,95.0,Rarely,Never,Sometimes,Never,Never,Sometimes,Rarely,Never,Never,Very frequently,Sometimes,Never,Never,Sometimes,Rarely,Very frequently,5.0,2.0,5.0,0.0,Improve,I understand.,280
23,Spotify,2.0,Yes,Yes,Yes,Rock,Yes,No,138.0,Very frequently,Never,Rarely,Rarely,Never,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Very frequently,Sometimes,6.0,8.0,4.0,2.0,No effect,I understand.,281
28,Apple Music,2.0,Yes,No,No,Rock,No,No,100.0,Rarely,Never,Never,Rarely,Never,Never,Sometimes,Rarely,Never,Sometimes,Rarely,Sometimes,Rarely,Never,Very frequently,Rarely,7.0,5.0,2.0,1.0,No effect,I understand.,282
22,Spotify,6.0,Yes,No,No,Jazz,Yes,Yes,140.0,Sometimes,Rarely,Very frequently,Rarely,Rarely,Rarely,Very frequently,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Very frequently,Sometimes,8.0,8.0,7.0,1.0,Improve,I understand.,283
25,Spotify,0.5,Yes,Yes,No,Rock,Yes,Yes,139.0,Rarely,Never,Very frequently,Never,Never,Rarely,Never,Rarely,Never,Never,Rarely,Sometimes,Rarely,Rarely,Very frequently,Sometimes,10.0,2.0,0.0,0.0,Improve,I understand.,284
27,Spotify,2.0,Yes,Yes,Yes,Pop,Yes,Yes,100.0,Sometimes,Rarely,Very frequently,Never,Never,Sometimes,Very frequently,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Rarely,Sometimes,Sometimes,8.0,7.0,7.0,5.0,Improve,I understand.,285
18,Spotify,5.0,Yes,No,No,Rock,Yes,Yes,100.0,Rarely,Never,Rarely,Rarely,Never,Rarely,Never,Rarely,Never,Rarely,Sometimes,Very frequently,Rarely,Sometimes,Very frequently,Very frequently,8.0,8.0,8.0,6.0,Improve,I understand.,286
17,Apple Music,3.0,Yes,Yes,Yes,Pop,Yes,No,120.0,Rarely,Rarely,Never,Sometimes,Never,Sometimes,Very frequently,Never,Rarely,Never,Sometimes,Very frequently,Very frequently,Very frequently,Very frequently,Never,8.0,10.0,9.0,2.0,Improve,I understand.,287
23,Other streaming service,4.5,Yes,No,No,Rock,No,Yes,100.0,Sometimes,Rarely,Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,Sometimes,6.0,1.0,8.0,4.0,No effect,I understand.,288
40,Other streaming service,3.0,Yes,No,No,Rock,Yes,Yes,178.0,Sometimes,Never,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Rarely,Never,Sometimes,Never,0.0,4.0,4.0,0.0,Improve,I understand.,289
27,Spotify,2.0,Yes,No,No,Rock,Yes,Yes,100.0,Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,Never,Sometimes,Rarely,Sometimes,Very frequently,Rarely,Never,Rarely,Very frequently,Sometimes,8.0,10.0,10.0,8.0,No effect,I understand.,290
18,Spotify,1.0,No,No,No,Pop,Yes,No,100.0,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Never,Never,Never,Never,Never,Very frequently,Rarely,Sometimes,Sometimes,Rarely,3.0,2.0,0.0,1.0,No effect,I understand.,291
16,Spotify,2.5,No,Yes,Yes,Metal,Yes,No,110.0,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Very frequently,Never,Never,Rarely,Very frequently,Sometimes,5.0,3.0,3.0,1.0,Improve,I understand.,292
18,Spotify,1.0,No,No,No,Rock,Yes,Yes,108.0,Sometimes,Rarely,Never,Sometimes,Never,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Rarely,Rarely,Very frequently,Rarely,8.0,9.0,6.0,1.0,Improve,I understand.,293
23,Spotify,2.0,No,Yes,No,Jazz,No,Yes,100.0,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,10.0,3.0,0.0,10.0,No effect,I understand.,294
15,I do not use a streaming service.,5.0,Yes,Yes,No,Metal,Yes,No,161.0,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Sometimes,Never,6.0,7.0,8.0,2.0,Improve,I understand.,295
20,Apple Music,3.0,Yes,Yes,No,Metal,Yes,No,200.0,Sometimes,Rarely,Never,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Very frequently,Rarely,Never,Rarely,Very frequently,Sometimes,7.0,4.0,7.0,0.0,Improve,I understand.,296
16,Spotify,3.0,Yes,Yes,No,Rock,Yes,No,100.0,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Very frequently,Rarely,9.0,8.0,6.0,2.0,Improve,I understand.,297
16,Spotify,0.5,No,No,No,Rock,No,Yes,156.0,Sometimes,Never,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Sometimes,Never,Never,Very frequently,Sometimes,8.0,0.0,0.0,0.0,Improve,I understand.,298
20,Apple Music,8.0,Yes,Yes,Yes,Country,Yes,No,120.0,Never,Very frequently,Never,Sometimes,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Sometimes,Never,8.0,9.0,2.0,5.0,No effect,I understand.,299
33,Spotify,2.0,Yes,No,No,Metal,Yes,Yes,100.0,Rarely,Rarely,Never,Rarely,Never,Sometimes,Never,Never,Never,Never,Very frequently,Never,Never,Sometimes,Sometimes,Sometimes,7.0,2.0,3.0,0.0,Improve,I understand.,300
